instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,5,0,1,0.0779,0.0875,0.4235,0.2204,292,605,897
2,2011-01-02,1,0,1,1,6,0,1,0.0573,0.0301,0.3939,0.3418,403,1013,1416
3,2011-01-03,1,0,1,0,0,1,2,0.0824,0.0776,0.4365,0.064,585,1479,2064
4,2011-01-04,1,0,1,0,1,1,1,0.0543,0.0405,0.7366,0.2341,549,1786,2335
5,2011-01-05,1,0,1,0,2,1,2,0.0581,0.0911,0.5282,0.3593,637,1904,2541
6,2011-01-06,1,0,1,0,3,1,1,0.1504,0.0718,0.7502,0.4859,372,1229,1601
7,2011-01-07,1,0,1,0,4,1,2,0.1586,0.1933,0.4936,0.4501,487,1663,2150
8,2011-01-08,1,0,1,0,5,0,2,0.1189,0.119,0.5196,0.2042,310,675,985
9,2011-01-09,1,0,1,0,6,0,3,0.1326,0.0824,0.489,0.1692,347,914,1261
10,2011-01-10,1,0,1,0,0,1,1,0.1331,0.1674,0.6738,0.5806,481,1585,2066
11,2011-01-11,1,0,1,0,1,1,1,0.2188,0.245,0.5445,0.4541,451,1496,1947
12,2011-01-12,1,0,1,0,2,1,2,0.1613,0.1681,0.6694,0.3918,640,1846,2486
13,2011-01-13,1,0,1,0,3,1,2,0.1644,0.2009,0.434,0.4321,532,1713,2245
14,2011-01-14,1,0,1,0,4,1,2,0.077,0.1059,0.6494,0.2141,507,1666,2173
15,2011-01-15,1,0,1,0,5,0,1,0.0632,0.0621,0.2882,0.1897,478,1090,1568
16,2011-01-16,1,0,1,0,6,0,1,0.1164,0.1228,0.2852,0.4115,538,1182,1720
17,2011-01-17,1,0,1,0,0,1,1,0.1787,0.1606,0.5052,0.4785,551,1503,2054
18,2011-01-18,1,0,1,0,1,1,1,0.0585,0.0439,0.7323,0.4207,464,1603,2067
19,2011-01-19,1,0,1,0,2,1,1,0.2529,0.3082,0.5527,0.4987,550,1285,1835
20,2011-01-20,1,0,1,0,3,1,1,0.1176,0.1706,0.503,0.5974,451,1342,1793
21,2011-01-21,1,0,1,0,4,1,1,0.1325,0.1045,0.3499,0.3587,646,1512,2158
22,2011-01-22,1,0,1,0,5,0,1,0.179,0.185,0.3596,0.3465,662,1630,2292
23,2011-01-23,1,0,1,0,6,0,3,0.1092,0.1154,0.6473,0.2001,481,964,1445
24,2011-01-24,1,0,1,0,0,1,1,0.1773,0.1998,0.7753,0.0568,557,1413,1970
25,2011-01-25,1,0,1,0,1,1,1,0.1215,0.1472,0.5424,0.4299,555,1983,2538
26,2011-01-26,1,0,1,0,2,1,2,0.1668,0.1665,0.6728,0.4572,639,1817,2456
27,2011-01-27,1,0,1,0,3,1,1,0.1614,0.1876,0.6729,0.1029,450,1008,1458
28,2011-01-28,1,0,1,0,4,1,1,0.1333,0.1429,0.3476,0.3104,570,1668,2238
29,2011-01-29,1,0,1,0,5,0,1,0.1572,0.1588,0.6727,0.2767,518,903,1421
30,2011-01-30,1,0,1,0,6,0,1,0.1727,0.109,0.689,0.2523,671,1325,1996
31,2011-01-31,1,0,1,0,0,1,3,0.1483,0.1153,0.5484,0.0269,509,1620,2129
32,2011-02-01,1,0,2,0,1,1,3,0.2406,0.2271,0.7285,0.4425,529,1291,1820
33,2011-02-02,1,0,2,1,2,0,1,0.2335,0.2681,0.5903,0.393,396,773,1169
34,2011-02-03,1,0,2,0,3,1,1,0.2181,0.2632,0.404,0.315,603,1732,2335
35,2011-02-04,1,0,2,0,4,1,1,0.2811,0.2379,0.4944,0.0953,663,2008,2671
36,2011-02-05,1,0,2,0,5,0,1,0.2012,0.1853,0.5888,0.2434,448,1186,1634
37,2011-02-06,1,0,2,0,6,0,2,0.2676,0.249,0.3501,0.6346,507,1351,1858
38,2011-02-07,1,0,2,0,0,1,1,0.2734,0.2696,0.4806,0.2157,560,1431,1991
39,2011-02-08,1,0,2,0,1,1,2,0.1813,0.1812,0.6225,0.2651,428,1100,1528
40,2011-02-09,1,0,2,0,2,1,1,0.2314,0.2118,0.5439,0.1436,550,1690,2240
41,2011-02-10,1,0,2,0,3,1,1,0.2387,0.2537,0.212,0.5725,368,1436,1804
42,2011-02-11,1,0,2,0,4,1,1,0.1488,0.1727,0.3315,0.2785,517,1513,2030
43,2011-02-12,1,0,2,0,5,0,1,0.2636,0.1894,0.3843,0.2352,639,1393,2032
44,2011-02-13,1,0,2,0,6,0,1,0.2091,0.1995,0.4495,0.1603,307,1195,1502
