instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,0,5,0,1,0.0867,0.0675,0.4037,0.1992,0,1,1
2,2011-01-01,1,0,1,1,0,5,0,1,0.0589,0.0895,0.417,0.2156,0,1,1
3,2011-01-01,1,0,1,2,0,5,0,1,0.0862,0.0791,0.4246,0.244,0,1,1
4,2011-01-01,1,0,1,3,0,5,0,1,0.0798,0.1064,0.445,0.2323,0,1,1
5,2011-01-01,1,0,1,4,0,5,0,1,0.0927,0.0758,0.4654,0.2197,0,1,1
6,2011-01-01,1,0,1,5,0,5,0,1,0.0712,0.1003,0.3777,0.1969,1,3,4
7,2011-01-01,1,0,1,6,0,5,0,1,0.0891,0.085,0.4458,0.2491,2,4,6
8,2011-01-01,1,0,1,7,0,5,0,1,0.0966,0.1023,0.4266,0.2044,6,12,18
9,2011-01-01,1,0,1,8,0,5,0,1,0.078,0.0873,0.3869,0.1989,8,16,24
10,2011-01-01,1,0,1,9,0,5,0,1,0.0587,0.0928,0.4484,0.2203,18,36,54
11,2011-01-01,1,0,1,10,0,5,0,1,0.0587,0.086,0.446,0.2156,20,43,63
12,2011-01-01,1,0,1,11,0,5,0,1,0.0875,0.078,0.4269,0.1913,27,55,82
13,2011-01-01,1,0,1,12,0,5,0,1,0.0674,0.1005,0.4701,0.2488,41,84,125
14,2011-01-01,1,0,1,13,0,5,0,1,0.0888,0.1023,0.3743,0.209,39,80,119
15,2011-01-01,1,0,1,14,0,5,0,1,0.0651,0.0697,0.4097,0.2069,42,86,128
16,2011-01-01,1,0,1,15,0,5,0,1,0.0788,0.0895,0.3781,0.212,28,57,85
17,2011-01-01,1,0,1,16,0,5,0,1,0.0791,0.0752,0.3803,0.2376,22,44,66
18,2011-01-01,1,0,1,17,0,5,0,1,0.0781,0.1026,0.3917,0.2415,17,35,52
19,2011-01-01,1,0,1,18,0,5,0,1,0.0883,0.0774,0.3873,0.2103,8,17,25
20,2011-01-01,1,0,1,19,0,5,0,1,0.0938,0.1032,0.4551,0.1926,5,12,17
21,2011-01-01,1,0,1,20,0,5,0,1,0.0695,0.0963,0.3757,0.2028,2,4,6
22,2011-01-01,1,0,1,21,0,5,0,1,0.0772,0.0843,0.4594,0.2007,1,2,3
23,2011-01-01,1,0,1,22,0,5,0,1,0.0958,0.0981,0.4017,0.2037,0,1,1
24,2011-01-01,1,0,1,23,0,5,0,1,0.0859,0.1075,0.3955,0.2121,0,1,1
25,2011-01-02,1,0,1,0,1,6,0,1,0.0606,0.0213,0.3625,0.3365,1,1,2
26,2011-01-02,1,0,1,1,1,6,0,1,0.0581,0.0408,0.4228,0.364,0,2,2
27,2011-01-02,1,0,1,2,1,6,0,1,0.0699,0.0395,0.4307,0.3348,1,1,2
28,2011-01-02,1,0,1,3,1,6,0,1,0.0597,0.0151,0.3837,0.3587,1,1,2
29,2011-01-02,1,0,1,4,1,6,0,1,0.0487,0.013,0.4202,0.339,1,1,2
30,2011-01-02,1,0,1,5,1,6,0,1,0.0525,0.0366,0.3603,0.3696,2,4,6
31,2011-01-02,1,0,1,6,1,6,0,1,0.0756,0.0409,0.4426,0.3243,3,8,11
32,2011-01-02,1,0,1,7,1,6,0,1,0.0522,0.0323,0.4395,0.356,8,21,29
33,2011-01-02,1,0,1,8,1,6,0,1,0.0553,0.0265,0.3699,0.364,12,30,42
34,2011-01-02,1,0,1,9,1,6,0,1,0.0685,0.0138,0.4072,0.3126,18,45,63
35,2011-01-02,1,0,1,10,1,6,0,1,0.0496,0.0194,0.3716,0.3608,32,80,112
36,2011-01-02,1,0,1,11,1,6,0,1,0.0614,0.0482,0.3582,0.3602,47,117,164
37,2011-01-02,1,0,1,12,1,6,0,1,0.0559,0.0178,0.4021,0.349,59,150,209
38,2011-01-02,1,0,1,13,1,6,0,1,0.0717,0.0479,0.4142,0.3498,51,128,179
39,2011-01-02,1,0,1,14,1,6,0,1,0.0692,0.0429,0.3561,0.3479,51,130,181
40,2011-01-02,1,0,1,15,1,6,0,1,0.0395,0.0416,0.3726,0.3388,41,103,144
41,2011-01-02,1,0,1,16,1,6,0,1,0.0391,0.0372,0.3482,0.3188,29,73,102
42,2011-01-02,1,0,1,17,1,6,0,1,0.0753,0.0394,0.4038,0.3212,21,52,73
43,2011-01-02,1,0,1,18,1,6,0,1,0.0617,0.0154,0.368,0.3314,11,29,40
44,2011-01-02,1,0,1,19,1,6,0,1,0.0415,0.0399,0.38,0.3334,8,21,29
45,2011-01-02,1,0,1,20,1,6,0,1,0.0593,0.0214,0.3516,0.3385,4,11,15
